acn,Report_1_Synopsis,Assessments_Primary_Problem
1378896,N90 Controller vectored an aircraft for spacing on the final approach course into the path of an aircraft in the adjacent sector.,Airspace Structure
1258977,B767 First Officer laments the lack of information provided by his company on the location of volcanic ash departing SCEL and the company's response to his earlier report on the subject.,Environment - Non Weather Related
1319592,ARTCC Controller reported of a staffing issue on a particular day. No overtime was called in and the sectors were combined at times in ways the reporter had never seen before. Reporter thought it was due to short staffing and the micromanagement of the Operations Manager that lead to all of the problems.,Staffing
1537568,B767 Maintenance Technician reported that an incorrect O-ring was installed on the engine's oil Magnetic Chip Detector.,Incorrect / Not Installed / Unavailable Part
1654609,Captain reported experiencing intermittent GPS/ADS-B signal interruption during ILS approach.,Environment - Non Weather Related
1408269,GA pilot reported parachuting activity in the vicinity of E60 airport near a private airport that is not located on aviation charts.,Chart Or Publication
1774703,Pilot reported the rotating beacon on top of the new JLN Control Tower is hard to see at night.,ATC Equipment / Nav Facility / Buildings
1775865,Flight Attendant reported a passenger complained about another passenger coughing and sneezing on the flight and not wearing a face mask.,Environment - Non Weather Related
1358876,Air carrier Captain reported about the limits of single FMC/ACARS operations.,Equipment / Tooling
1685821,Maintenance technician reported that during a landing gear tire change; the aircraft was hoisted using incorrect jacks; resulting in a safety risk.,Equipment / Tooling
1773891,Air carrier Captain reported concerns with being in close contact with a Flight Attendant that had called in sick the day before for COVID-19 like symptoms.,Environment - Non Weather Related
1453463,Air carrier flight crew reported a GPWS activation on short final to JAN at night in marginal VFR conditions.,Equipment / Tooling
1776515,Air carrier pilot reported asymmetrical thrust on start of takeoff roll resulting in a rejected takeoff.,Environment - Non Weather Related
1512659,A320 Captain reported that with the maintenance history concerning a system that was deferred he did not accept the aircraft.,MEL
1678856,B767 Captain stated he feels his company's policy of flying some East Coast to Europe North Atlantic flights with just two pilots is unsafe.,Company Policy
1501735,SFO Tower Controller reported a radio 'dead spot' identified at the approach end of Runway 1R that continually affects lower profile jets when in position on the runway.,ATC Equipment / Nav Facility / Buildings
1486600,A Center Controller recieved a handoff from the TRACON of an aircraft below their Minimum IFR Altitude.,Airspace Structure
1569950,MKC Tower Controller reported receiving an aircraft on a Visual Approach descending into a conflict with VFR traffic.,ATC Equipment / Nav Facility / Buildings
1756513,C-182T Pilot Flying reported a possible encounter with hypoxia.,Environment - Non Weather Related
1662136,Pilot reported receiving a low altitude report from ATC while on published SID.,Environment - Non Weather Related
1717068,B777 Captain reported acrid cabin odor during cruise most likely due to sulfur dioxide gas from a volcano eruption in the vicinity.,Environment - Non Weather Related
1545487,A P80 TRACON Controller reported vectoring an arriving air carrier off its approach to avoid conflicting unidentified VFR traffic.,Airspace Structure
1635177,EMB-175 First Officer reported observing a UAV near their course while on short final.,Environment - Non Weather Related
1754143,A TRACON Controller reported a photo mission aircraft flying an unsafe route was allowed to proceed through the airspace.,Company Policy
1324708,Maintenance Technician reported the C560XL Maintenance Manual and Illustrated Parts Catalog are not clear on what parts are required or procedures when replacing elevator trim cables.,Manuals
1272385,B737 First Officer reports his air carrier's Before Takeoff Checklist is too long and beginning the checklist late into the taxi flow means something is bound to be missed.,Company Policy
1312453,While replacing the #1 and #2 main landing gear wheel assemblies on a commercial aircraft; the technicians did not find any washer under the axle nut for either wheel assembly.,Incorrect / Not Installed / Unavailable Part
1453496,MD-80 Captain reported a main cabin door problem was not documented by the off going crew and entered the discrepancy in the aircraft maintenance log. A mechanic verified the problem; but the Supervisor overrode the decision resulting in the crew refusing the aircraft after enduring pilot pushing and threats from maintenance.,Company Policy
1289598,Captain lamented the training he received for new procedures instituted by his company in order to mirror the procedures of a main line carrier. He also does not believe that the CRJ200 to CRJ900 differences training is adequate.,Company Policy
1645399,ATC and B767 pilots reported a security threat from a passenger that prompted an air return.,Environment - Non Weather Related
1303370,A supervisor did not meet their Area currency requirements and did not realize it. The Operations Manager did not advise the supervisor of their currency default. The supervisor worked for several months without meeting currency requirements.,Manuals
1639637,B757 Captain reported the need to remind pilots it is in violation of the FAR's to text and fly. The Captain suggests the company shut off the free Wi-Fi inflight.,Company Policy
1267444,A Honolulu Control Facility (HCF) Controller reports of losing a data tag with an aircraft on a 9 mile final. The Controller coordinates with tower; but doesn't know why the data tag went missing. The Controller assumes someone dropped the data tag because of a different flight with the same call sign.,ATC Equipment / Nav Facility / Buildings
1678437,Pilot reported confusion between the difference in Out of Service and Unserviceable in NOTAMs.,Chart Or Publication
1490507,Maintenance reported that 'unserviceable' tags were removed from several tow bars and; the tow bars were put back into service without being repaired.,Incorrect / Not Installed / Unavailable Part
1504644,Ground operations employee reported that Boeing 737 flight crews are told not to write up engine leaks.,Company Policy
1713573,Air Carrier Captain reported a ramp incursion due to inadequate ramp chart.,Chart Or Publication
1279605,B747 Relief Pilot described a bird strike on takeoff that damaged the number four engine. After consulting with the company the crew elects to return to the departure airport after dumping fuel down to maximum landing weight.,Environment - Non Weather Related
1748666,MRI Tower Controller reported LOA problems with the overlying A11 TRACON.,Airspace Structure
1774086,Flight Attendant reported the gate agents tried to board the passengers right after the aircraft was sanitized; disregarding the mandatory wait time.,Environment - Non Weather Related
1641742,Flight Test crew experienced engine fire warning after takeoff due to borescope plugs not being installed before flight.,Incorrect / Not Installed / Unavailable Part
1348647,PHL Tower Controller states his facility Letter of Agreement with Ramp Control is not being complied with and is unsafe.,Manuals
1764890,Dispatcher reported confusion over a Dispatcher desk being closed and who was responsible for certain flights.,Staffing
1515905,Air carrier First Officer reported chronic anomalies with domestic clearances (KUSA) obtained via the Harris CPDLC-DCL (Direct Clearance) system which resulted in incomplete or erroneous route clearances on more than one occasion.,ATC Equipment / Nav Facility / Buildings
1329020,TPA TRACON Controller reported of losing a data block along with the primary target. The aircraft was in conflict with the downwind traffic. Reporter advised the FLM; who told him this had happened several times before he took the position. Controller would like this looked into to avoid it from happening again.,ATC Equipment / Nav Facility / Buildings
1755916,General aviation pilot reported severe interference from a commercial radio station in the vicinity of PGV airport affecting communication with Washington Center and PGV Unicom.,ATC Equipment / Nav Facility / Buildings
1356596,A pilot reported that the Tower Controller advised them they penetrated an adjacent Class C airspace. The pilot states according to his GPS and reviewing his route on an aviation software program they did not enter the Class C airspace.,Airspace Structure
1700026,B737 Captain reported refusing an aircraft that had come out of maintenance with flight control anomalies.,Company Policy
1739948,Air carrier Captain reported that the crew was transported to the aircraft in the same bus as the passengers to a remote hard stand; and that a separate bus would lessen the risk of exposure to COVID-19.,Company Policy
1558957,B737-800 flight crew reported striking a large flock of birds during takeoff; resulting in damage to the Number 2 engine; and an immediate return to the departure airport.,Environment - Non Weather Related
1686933,Maintenance Technician reported air carrier released aircraft after replacement of critical flight control items without a pre-revenue check flight.,Company Policy
1772739,Air carrier Captain reported that one Controller was working combined frequencies during low visibility conditions at the airport. Reporter stated safety concerns with the situation.,Staffing
1335899,While accomplishing preventive maintenance on an aircraft recovery kit Maintenance found that the airbags were out of time limits.,Company Policy
1642442,CRJ-900 flight crew reported navigation charts had incorrect and out-of-date information.,Chart Or Publication
1763041,Center Controller reported they forgot to climb an aircraft in a timely manner and it flew below the Minimum IFR Altitude.,Airspace Structure
1354947,An air carrier being vectored onto the final approach to DAY took evasive action to avoid a VFR aircraft not displaying a transponder or in communication with TRACON.,Airspace Structure
1764847,Customer Service Representative reported a crowded and unsafe area in the lobby; which did not allow for proper social distancing.,Environment - Non Weather Related
1772120,Maintenance Technician reported that a Task Card is missing a second Signature Block.,Chart Or Publication
1417880,CRJ-200 flight crew reported difficulty intercepting the ORD Runway 27R localizer due to a misprogrammed FMS. At the same moment; an issue with the airport's ILS system prevented them from reintercepting the localizer.,Equipment / Tooling
1445564,Air carrier pilot reported that climb gradients to DRSET should be published for Runways 13L and 13R on four SIDs at DAL.,Chart Or Publication
1249428,B737-800 flight crew reported during departure they noticed a smoky odor after a bird strike. The flight returned to departure airport. After landing; damage to #1 engine fan blade was found.,Environment - Non Weather Related
1575933,A B777 Captain reported that the new procedure as to when to use the landing checklist has increased the workload during approach.,Chart Or Publication
1561479,A330 Captain reported they lost communication with ATC and did not realize it until they observed unidentifiable traffic near their aircraft.,Environment - Non Weather Related
1467995,A320 Captain reported questioning the engine out missed approach procedures specified by his company which requires the SFO VOR which was NOTAMed out of service.,ATC Equipment / Nav Facility / Buildings
1717400,B737 First Officer reported a rejected takeoff after the red runway lights illuminated when the power was advanced.,ATC Equipment / Nav Facility / Buildings
1489493,ATC Center controller reported vectoring several aircraft for sequencing to an airport unnecessarily due to faulty instructions from the Traffic Management Unit.,Company Policy
1626627,MAF Controller reported VFR aircraft were allowed to conduct operations in an IFR Class C airspace.,Company Policy
1303695,An MD-80; prepared to push back; was evacuated at the gate after the flight attendants reported smoke in the cabin. Maintenance believed the APU was the smoke's source.,Company Policy
1408119,The flight crew of a MD11 reported that they departed with an aircraft with an MEL item that prohibited them from entering icing conditions. It turned out; the weather was not as forecast and they had to deviate several times to avoid icing.,MEL
1302377,B777 Flight Officer mentions improper flight planning policy with regards to terrain clearance/avoidance for Depressurization scenario due to high terrain along their route in South America. Crew contacts Dispatch while enroute asking for a new route to properly avoid terrain in case of a depressurization issue and is left on their own to file a new route after Dispatcher and on duty Chief Pilot question the flight crew's reasoning. New route is filed by crew and accepted by Colombian ATC some 3 hours later.,Company Policy
1548735,S46 TRACON Controller reported their sector reached an unsafe workload level during a runway change operation because they were working combined sectors.,Staffing
1330573,An Unmanned Aircraft System (UAS) pilot reported his aircraft and a law enforcement helicopter had a near miss at 550 feet even though his UAS computerized flight plan's altitude restriction was 400 feet. The QNH was 30.40 at the time.,Chart Or Publication
1358937,B747 flight crew reported loss of Number 1 hydraulic system in cruise after being dispatched with Number 1 engine driven hydraulic pump on MEL. Flight crew returned to departure airport with limited flaps.,MEL
1634161,B777-200 Captain reported encountering wake turbulence from a preceding wide body aircraft in cruise flight over the North Atlantic.,Environment - Non Weather Related
1569873,SR22 pilot landing #6 in a flight of 7 reported encountering 'very significant' wake turbulence during the landing flare.,Environment - Non Weather Related
1657171,A TRACON Supervisor reported a light aircraft in a satellite airport airspace reported a wake vortex encounter with a Super aircraft on approach to another airport.,Environment - Non Weather Related
1506910,A Center Controller reported they had difficulty communicating with an aircraft that lost an engine and was diverting due to poor radio coverage at low altitudes in their sector.,ATC Equipment / Nav Facility / Buildings
1695000,Flight Attendant reported problems with procedures and company safety culture that could result in a safety issue.,Company Policy
1391947,ZLA Center Controller reported a radar site was producing radar track jumps and dual radar targets on their radar displays.,ATC Equipment / Nav Facility / Buildings
1241665,B737 First Officer reported his concerns with what he sees as an inadequate recurrent training program at his airline.,Company Policy
1244277,A B737 Captain reported that when he refused to fly an aircraft to SNA because of heavy light aircraft traffic and an inoperative TCAS his company 'shopped' the aircraft to other flight crews hoping someone would take it.,Company Policy
1303107,Air Carrier Dispatcher reported difficulty communicating with a flight that was experiencing an engine problem and was returning to departure airport.,Equipment / Tooling
1773755,Flight Attendant reported having to explain to a passenger that there were no exemptions to having to wear a face mask.  Passenger and two others traveling with him were not compliant during the flight.,Environment - Non Weather Related
1744128,EMB-135LR First officer reported an NMAC event during arrival.,Airspace Structure
1701640,Vehicle Driver reported striking and injuring a pedestrian.,Environment - Non Weather Related
1654839,Air carrier Captain reported questioning Company Management's policy of not reporting certain aircraft maintenance issues.,Company Policy
1499099,Air carrier flight crew reported being out of contact for ten minutes in Fukuoka airspace due to a late hand off from Manila ATC and an error in ATC frequency information in the Jepp-Pro application.,Chart Or Publication
1402509,A Dispatcher reported his company's delay activation authority to many users/stations in addition to Dispatch is a possible FAR violation regarding control of a flight's progress by other than Dispatch. The procedure has safety implications.,Company Policy
1590966,Medium transport Captain reported losing contact with ATC for approximately 4 minutes shortly after takeoff from EWR.,ATC Equipment / Nav Facility / Buildings
1473000,Airbus Captain reported receiving a SMOKE AFT CARGO ECAM during deplaning. It was later determined the alarm was caused by insecticide sprayed into the compartment by ground personnel.,Company Policy
1677269,ZAB Controller reported an E175 11 miles behind a B737-700 encountered wake turbulence causing a 35 degree un-commanded roll.,Environment - Non Weather Related
1424128,A Dispatcher reported a flight crew checked their communications to Dispatch via the Iridium SATLINK system while on a polar route over ABERI intersection. The crew's message took 50 minutes to arrive at Dispatch whereupon the Dispatcher immediately issued a reply to the aircraft. Twenty minutes after the Dispatcher sent the reply; the crew sent back confirmation that they had received the Dispatch reply.,Equipment / Tooling
1515818,B787 flight crew reported that the information for two deferrals for the same system were very confusing.,MEL
1384958,Air carrier ramp employee reported becoming ill after cleaning up a hydraulic spill without using a respirator or mask.,Environment - Non Weather Related
1306508,B777 flight crew reported being unable to receive a rereleased fuel required at their planned redispatch point due to the fact that the flight planning software was currently down. The crew was told to continue toward their destination and the required fuel was finally sent 16 minutes past the redispatch point.,Equipment / Tooling
1485704,A TRACON Controller reported they had to cancel an aircraft's approach clearance and subsequently the aircraft responded to an RA for an unidentified VFR aircraft flying through the final approach course.,Airspace Structure
1492590,B747 First Officer reported a course deviation resulted when the ANC 07R localizer signal displayed anomalies. Reporter stated he has seen this issue in the past.,ATC Equipment / Nav Facility / Buildings
1602894,An air carrier First Officer on an ILS final approach reported responding to a RA and taking evasive action to avoid an unidentified converging VFR aircraft.,Airspace Structure
1756601,Air carrier First Officer reported that re-qualification training was inadequate.,Company Policy
1734799,A Center Controller reported they observed an aircraft fail to intercept an airway and flew below the Minimum IFR Altitude.,Airspace Structure
1379181,S46 Approach Controller reported a conflict between an air carrier on an ILS approach to BFI and unidentified VFR traffic crossing the final approach course. Controller immediately turned the air carrier to the right in order to resolve the conflict. Reporter stated this is a common occurrence with VFR aircraft transiting a very busy and narrow corridor without communication with ATC.,Airspace Structure
1418436,GA pilot reported during last snow and ice event in the Midwest many smaller airports were not listed as closed on the NOTAM list even though flying over many he confirmed they were indeed closed. The pilot reported selecting a larger airport that was reporting conditions.,Chart Or Publication
1311926,An Air Carrier crew flying the SLC NORDK3 RNAV arrival had a track deviation because of confusion about the two D Ball Notes with separate instructions to either Runway 16L or Ruways 16R; 17. The SKEES3 Arrival caused the same confusion.,Chart Or Publication
1570918,EMB-135 flight crew reported that due to a communication error between pilots and ATC there was confusion when instructions stated to join the approach not clearance for the approach.,Airspace Structure
1479140,ZMA Center Controller reported managing aircraft conflicts caused by difficulty coordinating with adjacent airspace.,ATC Equipment / Nav Facility / Buildings
1402845,NCT TRACON Controller used insufficient spacing for an Opposite Direction Operation at SCK.,Manuals
1438773,A320 flight crew reported sighting a UAV in the vicinity of TEB at 3;300 feet.,Airspace Structure
1689110,B767-300 Captain reported incorrect bulbs were installed in cockpit switches; causing lights to illuminate incorrectly and requiring a diversion.,Incorrect / Not Installed / Unavailable Part
1667093,Aircraft Maintenance Technician reports that a Maintenance Manual procedure is unsafe.,Manuals
1564561,Air Carrier pilot reported the company failed to update aircraft navigation database.,Company Policy
1472732,B737 NG Captain reported diverting to an alternate when the crew oxygen pressure dropped below 500 PSI while enroute.,Equipment / Tooling
1656203,A TRACON Controller reported an aircraft they had just shipped to Tower went around in response to a TCAS/RA for an unidentified VFR target in the vicinity of the Final Approach course.,Airspace Structure
1737075,ZZZ Center Controller reported that an adjacent area went ATC Zero; resulting in a complex and difficult traffic situation.,Environment - Non Weather Related
1537779,B737 Captain reported that the navigation database in the FMS was in conflict with the approach plates for La Aurora Airport (MGGT).,Chart Or Publication
1441933,First Officer reported discovering a box with arrows pointing down when they should have been up. The box was labeled 'FLAMMABLE LIQUID' and 'CARGO AIRCRAFT ONLY.',Company Policy
1445338,Phenom 300 Captain reported a serious degradation of his ability to navigate due to suspected GPS jamming while descending into SLC. Captain received radar vectors from ATC to the airport; however; they experienced several RAs from an undetermined source during the approach.,Environment - Non Weather Related
1681704,EMB-145 First Officer reported encountering wake turbulence on approach to CLT in trail of an A321.,Environment - Non Weather Related
1346178,Corporate jet with passengers attempted a landing at an uncontrolled airport with heavy traffic in the pattern. Additionally; windshear conditions existed prompting a go-around. Because of the heavy workload there was a lapse in the coordination with ATC.,Environment - Non Weather Related
1328205,Passengers started boarding before the flight attendants were ready for them.,Company Policy
1767761,Tower Controller reported inadvertently giving an incorrect heading to a departing aircraft resulting in a conflict with an aircraft on final.,Environment - Non Weather Related
1769815,PA46 single pilot reported an uneventful diversion due to an in-flight encounter during cruise with an unknown object resulting windshield damage.,Environment - Non Weather Related
1265755,An EC-135 pilot reported when using Night Vision Goggles (NVG) and flying an aircraft which requires the instrument panel night vision external light shielding; the chin bubble mat blocks all downward vision thus obstructing obstacles during steep landing descents. The glareshield curtain permits downward vision but also filters the light from the instrument panels.,Company Policy
1476739,Air Carrier Dispatcher reported that Dispatchers were not advised by their company of missile launches which could have affected the safety of flights operating near the launch area.,Company Policy
1776589,Air carrier Captain reported having a passenger who was coughing throughout the flight.,Environment - Non Weather Related
1765509,Air carrier Flight Attendant reported concerns with crew rest facility restrictions during the COVID-19 pandemic.,Environment - Non Weather Related
1437268,Two dispatchers reported requesting an additional Dispatch desk be opened for late night Caribbean departures and arrivals due to forecasted weather; but the requests were ignored by management.,Company Policy
1388837,B737 First Officer reported the #1 engine and some leading edge devices were damaged from a bird strike on approach.,Environment - Non Weather Related
1546505,A Maintenance Technician reported that the Auxiliary Power Unit was serviced with Turbo Oil 2197.,Incorrect / Not Installed / Unavailable Part
1749878,Air carrier Captain reported being given multiple schedule changes in a short period of time; which caused fatigue and distraction.,Company Policy
1277426,A CVG Controller reports of losing a total loss of electrical power. The Controller attempts to use the backup radio but it does not work. The Controller plugs the backup radio into a different outlet and it then works. The Controller reports that he/she is appalled at the lack of maintaining the equipment at the airport.,ATC Equipment / Nav Facility / Buildings
1622117,B737 flight crew reported a track heading deviation during approach to MCO airport.  Similar sounding fix names CRUZE and HUWES were cited as a contributing factor.,Chart Or Publication
1278566,B-747 crew; after checking enroute charts and querying ATC; discovered that the holding pattern in their FMC was incorrect. Crew used manual heading to enter the holding pattern and iPad information to reprogram the FMC. Crew mentioned a lack of training in locating holding data in the iPad.,Incorrect / Not Installed / Unavailable Part
1296382,PA31 pilot and local FBO at a non-towered airport heard no transmissions on CTAF by a Gulfstream V aircraft holding short of the runway nor from a landing commuter jet. Reporter expressed concern with the practice of corporate and commuter aircraft communicating only with the local ATC Center and not utilizing CTAF.,Company Policy
1419976,B737 Captain reported on arrival into BOS he received 3 reroutes in 5 minutes. Due to unfamiliarity with the routing he requested help with the fixes and was told to look it up himself.,Chart Or Publication
1670879,Captain reported that Company DGS [Docking Guidance System] system is not recording flight time correctly for FAR compliance.,Company Policy
1772985,Maintenance employee reported that employee buses are full and social distancing on them is not being properly addressed.,Company Policy
1681859,A student at a flight school reported that the school's aircraft are not maintained in a safe condition.,Company Policy
1668316,B737 First Officer reported experiencing a TCAS Resolution Advisory which resulted in a Go-Around from his approach to Runway 27 at San Diego.,Airspace Structure
1619876,Air Carrier Captain reported concern with overweight and oversized baggage being allowed on the aircraft.,Company Policy
1619820,Air carrier Captain reported a medical issue that caused a large distraction for the pilots.  The reporter recommended that Medlink calls be handled by the cabin crew.,Company Policy
1673886,Dispatcher reported that a flight was delayed without notification of the Dispatcher.,Company Policy
1614024,CRJ-200 Maintenance Technician reported that allotted time is insufficient to allow safe and proper inspections on the aircraft fleet.,Company Policy
1768455,Air carrier flight crew reported encountering multiple delays as passengers and crew members deplaned and went through a foreign country's required COVID-19 protocols. Crew also reported concerns with the layover accommodations.,Environment - Non Weather Related
1659649,A11 TRACON Controller reported a low altitude notification for an aircraft flying the KNIK2 SID out of ANC airport.,Chart Or Publication
1347747,A Piper Arrow made a gear-up landing on a highway due to an engine failure. The engine failed due to loss of oil because of an incorrect 'quick drain' oil plug installed.,Incorrect / Not Installed / Unavailable Part
1314481,MD11 First Officer reported accepting the aircraft and flew with 13 listed MELs.,MEL
1695148,B787 Captain reported that an MEL weight penalty resulted in a maintenance action and flight cancellation.,Company Policy
1322710,The Local Controller cleared an aircraft for takeoff. The crew of the aircraft told the Controller they would wait because it appeared a taxiing aircraft had not cleared the runway. The Controller's ASDE-X (Ground Radar) indicated the taxiing aircraft was clear of the runway.,ATC Equipment / Nav Facility / Buildings
1406651,B737-800 Captain reported that; according to ATC; during descent the aircraft was 700 feet high over a crossing restriction of 8000 feet. The Captain stated the aircraft was in VNAV PATH the whole descent with no scratchpad advisories.,Airspace Structure
1393759,G550 flight crew were knowingly given an improper count of adult and infant passengers by the aircraft owner in order to accommodate more adult passengers than the crew would have accepted.,Company Policy
1500229,Large Turbojet flight crew reported a taxiway excursion at LFPG resulting in damage to two main wheels.,Chart Or Publication
1474053,A pilot reported a Ground Controller scolded him on frequency for not complying with their taxi instructions in an expeditious manner.,Environment - Non Weather Related
1595252,Small aircraft pilot reported mislabeled SAV airport runways 1 and 19 on the Garmin G3X database.,Chart Or Publication
1593389,EMB-135 Captain reported a traffic conflict with a helicopter near the final approach corridor.,Environment - Non Weather Related
1658562,ZSU Controller reported a loss of separation and an NMAC even though they complied with the rules in the FAAH 7110.65.,Company Policy
1565708,Air Carrier pilot reported confusion during taxi due to inaccurate airport diagram.,Chart Or Publication
1675629,Flight attendants reported being forced by management to continue a flight after voicing safety concerns due to an inoperative keypad for the flight-deck door.,Company Policy
1487453,NCT Departure Control Coordinator reported a departure contacted the TRACON on the wrong frequency and neither the trainee or the Supervisor observing the trainee noticed the wrong aircraft had called them.,Company Policy
1262926,CRJ900 flight crew is issue direct TORNN on the GUSHR3 arrival to IAH then issued a hold as published at TORNN. The pattern does not look correct; but is correctly entered. ATC agrees and issues vectors to reenter the holding pattern at TORNN. It is discovered that the charted out bound course of 243 degrees is off by 100 degrees at CHMPZ and TORNN. It should be 343 degrees.,Chart Or Publication
1313645,B737-800 Captain reported 'tremendous turbulence' from jet wash while landing on Runway 12 at MIA that was associated with a B777 departure on Runway 8R. Runway 8R and Runway 12 are close enough that the runway centerlines intersect near the runway thresholds.,Environment - Non Weather Related
1487260,Maintenance reported they installed an incorrect bearing on an MD-11 nose gear wheel assembly.,Incorrect / Not Installed / Unavailable Part
1505052,A pilot reported the need to take evasive maneuvers to avoid an amateur rocket launch.,Environment - Non Weather Related
1595473,A321 Captain reported difficulty interpreting and troubleshooting Fuel System messages due to an MEL item related to the fuel system.,MEL
1431828,Citation pilot reported that a descent on their arrival was a factor for other traffic departing a close by airport.,Chart Or Publication
1505440,B777 flight crew reported three Flight Attendants were slightly injured in a wake turbulence encounter at FL320 near TNT VOR in England.,Environment - Non Weather Related
1357192,Air carrier flight crew reported encountering an EGPWS activation during a visual approach.,Environment - Non Weather Related
1266831,Pilot reports of flying into SDM and not being familiar with the jump zones that are close to the airport. Controller vectors aircraft for a visual approach; leaves the aircraft high; and then ships the aircraft to the Tower. Aircraft turns away from airport to continue its descent and Tower Controller advises pilot he is going into a jump zone. Pilot finally lands at SDM. Pilot reports that this is an unsafe operation and offers suggestions to make flying into SDM better.,Airspace Structure
1646921,Air Carrier Maintenance Technician reports improper use of Engineering Authorization to defer maintenance action.,Company Policy
1684791,Ground Personnel reported that the jetbridge overhangs the safety zone at several gates; resulting in a collision hazard.,Equipment / Tooling
1312911,One sector pointed out an aircraft to another sector and handed it off to the subsequent sector. The sector the aircraft was being handed off to had conflicting traffic and attempted to coordinate control instructions to the Controller working the aircraft. Due to weather complexities; sectors that were combined were being split to alleviate the workload. In the ensuing confusion of closed sectors being opened and busy traffic; the aircraft was not pointed out to one of the newly opened sectors.,Airspace Structure
1532527,B737-700 Captain reported a laptop in the cabin that was sparking and smoldering was placed in a containment bag by a Flight Attendant.,Equipment / Tooling
1671601,Crew reported that local operations delayed a flight without contacting Dispatch.,Company Policy
1392254,S46 TRACON Controller reported a non-mode C target tracked toward the localizer course while another aircraft was inbound.,Airspace Structure
1271024,Three B737 Flight Attendants reported their air conditioning was unable to sufficiently cool on the ground or in flight because of extreme heat. The Lead Flight Attendant received emergency medical attention because of the prolonged triple digit heat exposure.,Company Policy
1401976,ERJ-190 Captain reported the nose swung 20 to 30 degrees left on the takeoff roll in response to a wind gust or wake from the previous takeoff.,Environment - Non Weather Related
1314248,The ERJ Captain reports that the EFB is installed in a poor location that is subject to water damage among other things.,Equipment / Tooling
1231754,D10 Controller reports of another position being inundated by traffic and taking late handoffs. Controller requested a handoff for the position but none was provided.,Staffing
1752679,Flight Attendant reported confusion about airline policy relating to the face mask policy.,Company Policy
1743746,Flight instructor reported there was no NOTAM for a runway closure at JAN airport.,Chart Or Publication
1344459,A Flight Attendant reports an aggressive and loud encounter with an unidentified uniformed airport person on the ramp after opening the aircraft rear service door upon arrival at the gate. This person demanded to see the crew's IDs and claimed that opening the service door prior to the departure of all passengers was a security violation. The door was opened to reduce the smell from day-old rotting meals in one of the service carts.,Company Policy
1718967,B777 First Officer reported there were no company instructions or procedures for two unfamiliar device chargers in the cockpit.,Company Policy
1762201,Customer Service Representative reported that the airport is pumping artificial fragrances that are irritating and can cause headaches.,Environment - Non Weather Related
1349554,A320 First Officer reported not noticing the 6000 ft minimum vectoring altitude between MARUX and the IAF on the MMSD VOR DME-2 Runway 16 Approach. The reporter stated the altitude is not coded into their navigation database.,Chart Or Publication
1746310,Flight Attendant reported experiencing fatigue from extended work hours and additional duties due to change in flight schedules in response to the COVID-19 pandemic.,Company Policy
1439658,Corporate pilot reported that TAF's and METAR's used were inaccurate and could use improvement.,Chart Or Publication
1621232,Technician reported that an A321 flight crew reset circuit breaker and did not document this maintenance action or perform follow-up system tests as required by the maintenance manual.,Company Policy
1284954,A300 flight crew reported that shortly after touchdown the aircraft lifted off again; possibly from a wake encounter or a wind gust.,Environment - Non Weather Related
1490019,Center Controllers reported the Traffic Management Unit failed to take any action during a period of known weather obstructions causing their sectors and workload to be unmanageable.,Company Policy
1586782,Air Carrier Maintenance Technician reported a personnel lift safety rail failure caused damage to aircraft.,Equipment / Tooling
1347852,A320 Captain reported extreme fatigue resulted from his three day assignment that included a 'red eye' leg on day two.,Company Policy
1398895,B737-800 Captain reported he recommended the crosswind landing limitation for scimitar winglet equipped aircraft be amended to allow for the use of the normal crosswind landing technique without potentially damaging the aircraft.,Company Policy
1677247,ZKC Controller reported they did not properly coordinate a priority aircraft due to not receiving a sector briefing.,Staffing
1740640,Flight Attendant reported concerns about safety and security issues relating to new COVID-19 jumpseat arrangements and social distancing guidelines.,Company Policy
1442807,B737 Captain reported the JeppFD-Pro app on his iPad malfunctioned while on approach. The problem was fixed on the ground once the iPad was connected to Wi-Fi.,Equipment / Tooling
1521582,SF340B flight attendant reported Captain allowing what may have appeared to be an overload to weight and balance.,Company Policy
1249217,Center Controller reports of an aircraft returning to departure airport; which could not be handed off to Approach automatically; and had to be handed off manually.,ATC Equipment / Nav Facility / Buildings
1515773,Air Carrier Captain reported of possible confusion when interpreting JEPP RNAV SID charts for LAS due to the placement of inset information.,Chart Or Publication
1275247,ZME Controller reports of a Mode-C intruder target moving NE towards their airspace at a fast rate. Controllers checked with pilots in the vicinity to see if they saw it on TCAS and they did not. Controller referenced it to something like ring-around but said it was not because the targets did not correlate to ring-around. Controller reported the incident to Front Line Manager (FLM).,Equipment / Tooling
1744483,Cirrus SR20 pilot reported receiving a traffic advisory from ATC; locating traffic and descending approximately 400 feet to the avoid conflicting traffic.,Environment - Non Weather Related
1629151,BJC Tower Controller reported an aircraft making evasive actions due to a VFR aircraft trying to shoot the gap between the Class D and Class B airspace.,Airspace Structure
1294856,A Large Transport flight crew reported being assigned a runway different from what they expected while taxiing out for takeoff. They neglected to brief the revised taxi route and missed the airport sign 'all aircraft hold here' short of Taxiway F. They did not hold short and ATC called to admonish them.,ATC Equipment / Nav Facility / Buildings
1769383,Technician reported the aircraft was parked and the parking orders never updated requiring a further maintenance delay.,Chart Or Publication
1519900,It was reported that Boston Tower used a frequency that is not published in any publication.,Chart Or Publication
